lag_bins,acf,white_noise_95_band,acf_physically_relevant_analytic,shuffle_95_band,acf_physically_relevant_shuffle
110,1.0046223739130742e-05,0.009134080456134,False,1.9854638849727058e-07,True
111,9.97068745076837e-06,0.009134080456134,False,2.0632641814635228e-07,True
112,9.889612733063353e-06,0.009134080456134,False,2.059108563263359e-07,True
113,1.0013174202510195e-05,0.009134080456134,False,1.7842930954868094e-07,True
114,9.912124123850462e-06,0.009134080456134,False,1.8935440623412642e-07,True
115,9.94453557057364e-06,0.009134080456134,False,1.9417335037017913e-07,True
116,9.959645344392433e-06,0.009134080456134,False,2.0800392810654128e-07,True
117,9.89594223835322e-06,0.009134080456134,False,1.830104582101994e-07,True
118,9.916685208434156e-06,0.009134080456134,False,2.0674981184173727e-07,True
119,9.950949774597538e-06,0.009134080456134,False,1.9271938412494322e-07,True
120,9.953324469829066e-06,0.009134080456134,False,2.0696704960917312e-07,True
121,1.0088153152501071e-05,0.009134080456134,False,1.851901899664246e-07,True
122,9.934828143249285e-06,0.009134080456134,False,1.85196806964319e-07,True
123,9.999588578040681e-06,0.009134080456134,False,1.889009902262909e-07,True
124,1.001762378907435e-05,0.009134080456134,False,2.0973109954127616e-07,True
125,9.941434621881392e-06,0.009134080456134,False,1.770385118694864e-07,True
126,9.985061328551856e-06,0.009134080456134,False,1.912722848322812e-07,True
127,9.936652212460528e-06,0.009134080456134,False,1.8213118172396758e-07,True
128,9.998277259724487e-06,0.009134080456134,False,1.8755146345191327e-07,True
129,9.988787636745115e-06,0.009134080456134,False,1.9955353941084866e-07,True
130,1.0111574795200339e-05,0.009134080456134,False,2.0576898280343556e-07,True
131,9.91337675567193e-06,0.009134080456134,False,1.870880754529662e-07,True
132,9.962548709278222e-06,0.009134080456134,False,2.0736642969023315e-07,True
133,9.945584115039407e-06,0.009134080456134,False,1.954351065933157e-07,True
134,1.0006975050749506e-05,0.009134080456134,False,2.144205530694203e-07,True
135,1.0055065599707003e-05,0.009134080456134,False,1.9836131236503619e-07,True
136,1.0040066881538761e-05,0.009134080456134,False,2.2119661897179329e-07,True
137,9.881162305732152e-06,0.009134080456134,False,2.097941962282016e-07,True
138,9.9790098093075e-06,0.009134080456134,False,2.02459738368199e-07,True
139,9.91233877335215e-06,0.009134080456134,False,1.9229361247817234e-07,True
140,1.011928476182512e-05,0.009134080456134,False,1.9370488752796378e-07,True
141,1.0054225604681467e-05,0.009134080456134,False,1.8845216917453847e-07,True
142,1.0078260943563589e-05,0.009134080456134,False,2.1221838269403787e-07,True
143,9.901604489057809e-06,0.009134080456134,False,1.8953361753082387e-07,True
144,9.956486371992156e-06,0.009134080456134,False,2.0126181048623536e-07,True
145,1.0021727765100304e-05,0.009134080456134,False,1.894509150058465e-07,True
146,9.936222552434046e-06,0.009134080456134,False,1.8774382193378808e-07,True
147,9.935550279053888e-06,0.009134080456134,False,1.8000726925618202e-07,True
148,1.0129306004954217e-05,0.009134080456134,False,1.9461705032676257e-07,True
149,1.0004206301653716e-05,0.009134080456134,False,1.9206803326091546e-07,True
150,1.0053328925938246e-05,0.009134080456134,False,2.1422599588585129e-07,True
151,9.966102964858998e-06,0.009134080456134,False,1.8852129954837032e-07,True
152,9.943386613965056e-06,0.009134080456134,False,2.101103139259563e-07,True
153,9.85812859365741e-06,0.009134080456134,False,1.73214080358448e-07,True
154,9.90030018228463e-06,0.009134080456134,False,1.8882752935761214e-07,True
155,9.90479991711561e-06,0.009134080456134,False,1.9192581072385315e-07,True
156,1.0000861543054785e-05,0.009134080456134,False,1.9425985393714708e-07,True
157,9.922895573732858e-06,0.009134080456134,False,2.0729717423756895e-07,True
158,1.0080394949259283e-05,0.009134080456134,False,2.1014289130100441e-07,True
159,1.002727895276207e-05,0.009134080456134,False,2.1852695347001027e-07,True
160,9.872980445294345e-06,0.009134080456134,False,1.9147253901520396e-07,True
161,9.757860431692482e-06,0.009134080456134,False,1.9559521820180152e-07,True
162,9.910031191450202e-06,0.009134080456134,False,1.9604463905424287e-07,True
163,9.877729017787907e-06,0.009134080456134,False,1.931076368203136e-07,True
164,9.891960364069877e-06,0.009134080456134,False,2.032581101116174e-07,True
165,9.845028818695876e-06,0.009134080456134,False,1.8528573988773567e-07,True
166,9.890907807836614e-06,0.009134080456134,False,1.828813168112754e-07,True
167,9.95934020909007e-06,0.009134080456134,False,1.7795849058970353e-07,True
168,9.96966861591602e-06,0.009134080456134,False,1.679954687443323e-07,True
169,1.0000229621568884e-05,0.009134080456134,False,1.9886362370944354e-07,True
170,9.841923857443734e-06,0.009134080456134,False,1.9420472184919172e-07,True
171,9.864984540009256e-06,0.009134080456134,False,2.068921764284851e-07,True
172,9.927597140084755e-06,0.009134080456134,False,1.9137787065279867e-07,True
173,9.974615875362004e-06,0.009134080456134,False,1.9613553228538028e-07,True
174,1.0013367688704513e-05,0.009134080456134,False,2.093157984336247e-07,True
175,9.922677668996711e-06,0.009134080456134,False,1.8716188227895298e-07,True
176,9.894012910628725e-06,0.009134080456134,False,2.0442029730081972e-07,True
177,9.874531023902894e-06,0.009134080456134,False,2.0806576392057822e-07,True
178,9.8350068746321e-06,0.009134080456134,False,2.053647749212793e-07,True
179,9.958701438891492e-06,0.009134080456134,False,2.1200403246782567e-07,True
180,9.987519688583336e-06,0.009134080456134,False,1.871383879140229e-07,True
181,9.830304223877666e-06,0.009134080456134,False,1.9769487308336436e-07,True
182,9.894610252773365e-06,0.009134080456134,False,2.1076805596572996e-07,True
183,9.853760056659715e-06,0.009134080456134,False,1.9059829039774475e-07,True
184,9.954416716825185e-06,0.009134080456134,False,1.8400649987407373e-07,True
185,9.984732028844383e-06,0.009134080456134,False,2.0306934782088686e-07,True
186,9.906235457782815e-06,0.009134080456134,False,1.9575776233988643e-07,True
187,9.90338766196936e-06,0.009134080456134,False,2.161123813875312e-07,True
188,9.816430087611218e-06,0.009134080456134,False,1.8859309145105662e-07,True
189,9.77239788337045e-06,0.009134080456134,False,2.140926716987993e-07,True
190,9.918272695613192e-06,0.009134080456134,False,1.9736534711903813e-07,True
191,9.8853790914066e-06,0.009134080456134,False,2.0009894309985632e-07,True
192,9.852876075012573e-06,0.009134080456134,False,1.967694012746216e-07,True
193,9.83612733027926e-06,0.009134080456134,False,1.9962737985091566e-07,True
