window_start_idx,window_end_idx,window_start_time,window_end_time,window_mid_time,h_q-10,r2_q-10,h_q-9,r2_q-9,h_q-8,r2_q-8,h_q-7,r2_q-7,h_q-6,r2_q-6,h_q-5,r2_q-5,h_q-4,r2_q-4,h_q-3,r2_q-3,h_q-2,r2_q-2,h_q-1,r2_q-1,h_q0,r2_q0,h_q1,r2_q1,h_q2,r2_q2,h_q3,r2_q3,h_q4,r2_q4,h_q5,r2_q5,h_q6,r2_q6,h_q7,r2_q7,h_q8,r2_q8,h_q9,r2_q9,h_q10,r2_q10
7300,10949,1920-01-01 00:00:00+00:00,1929-12-28 00:00:00+00:00,1924-12-30 00:00:00+00:00,0.7704530592366067,0.9807474132505302,0.7662341785101465,0.9815559183721385,0.7618632485624977,0.9825064370221062,0.7574439104590384,0.9836036046647844,0.7531602503182937,0.9848469401387963,0.7493403232517314,0.9862264756020184,0.7465866282952828,0.9877077606862502,0.746034592657888,0.9891883361646981,0.749785299384031,0.9903948782381561,0.7612741419339533,0.9907143413620167,0.7841762551160648,0.9891756460932707,0.8173429747269039,0.9853549669041308,0.8507776353952752,0.9809681869586254,0.8746156317528736,0.978331753598067,0.8874555526150436,0.9776502292352092,0.8924914609988359,0.9779195668158704,0.8929842494283503,0.9783557531016642,0.8910978109772246,0.9786388806069034,0.8880763935342131,0.9787118607589635,0.8845915904769004,0.9786111898463958,0.8809925468404818,0.9783901589773002
7665,11314,1920-12-31 00:00:00+00:00,1930-12-28 00:00:00+00:00,1925-12-30 00:00:00+00:00,0.7938819360652863,0.961313487770766,0.7906492900272847,0.9622651316920939,0.7870628417322466,0.9632759232577527,0.7830820265240588,0.9642751494386167,0.7786654118891305,0.9651345375089654,0.7737732910189472,0.9656569961690364,0.7683708875618901,0.9655949071812646,0.7624282916499644,0.9647203431814211,0.75591460973802,0.9629336203132268,0.7488012323130302,0.9603379420278577,0.7411066520503349,0.9572067336678335,0.732977808526574,0.9538604940549622,0.7247165445208141,0.9505701567049459,0.7166634141765609,0.9475636083982196,0.7090252815004474,0.9450227568534656,0.7018330573379441,0.9430119541328316,0.6950367946829732,0.941467704250914,0.6885982802695902,0.9402701749726026,0.6825157685089922,0.9393077977984385,0.6768079081554241,0.9385009329399115,0.6714930790880813,0.9378001700191905
8030,11679,1921-12-31 00:00:00+00:00,1931-12-28 00:00:00+00:00,1926-12-30 00:00:00+00:00,0.8254868140146369,0.9723112956315366,0.8180558500546073,0.9740506399603331,0.809746999446723,0.9762922867454196,0.8004828816706825,0.9791724464892668,0.7902341123010275,0.9827952279559882,0.7791141847062996,0.9870919556030949,0.7676177428722327,0.9915120434056979,0.7571324456003474,0.9946813377174396,0.750720603400486,0.9948837349150232,0.7535354883779768,0.9918671674076536,0.7712108532431764,0.9872507447866239,0.8038010924346439,0.9824020575743712,0.8398841750231985,0.9781392914106315,0.8666298900357671,0.9757362488169941,0.8814558873014158,0.9753869401275189,0.8876644891136696,0.9761389698788973,0.8887598640975088,0.9771303079888295,0.8870757869972193,0.9779724069273832,0.8839819413479804,0.9785807341498134,0.8802470502024402,0.9789851354920721,0.8762931467018107,0.9792382334289765
8395,12044,1922-12-31 00:00:00+00:00,1932-12-27 00:00:00+00:00,1927-12-30 00:00:00+00:00,0.822051790624066,0.9583288118379519,0.817691637274638,0.9602537227196756,0.8134962307875712,0.9629419952432419,0.809763760664207,0.9666049455241325,0.8069726135740852,0.9714109931446512,0.8058855616711524,0.9773210846352375,0.807651198673819,0.9837653489262355,0.8136987630138085,0.9893256575162481,0.8249706079984346,0.9922115455408802,0.8405343232896835,0.9920289876044337,0.8573000368233625,0.9904468702968302,0.8716292887293489,0.9891470409931371,0.8811622511794268,0.9885792805673953,0.8856639008569968,0.988468896545536,0.886331846654756,0.9884363657707337,0.8846161803727616,0.988293888253102,0.8816246246059133,0.9880328388597058,0.8780505970977204,0.9877063003309587,0.8742836284720863,0.9873615064232625,0.8705280424807553,0.9870256205079885,0.8668851792081872,0.9867107493962941
8760,12409,1923-12-31 00:00:00+00:00,1933-12-27 00:00:00+00:00,1928-12-29 00:00:00+00:00,0.8426829625282953,0.9914191971413113,0.8375602157391006,0.9913863897119773,0.8320780719518814,0.9913614802050652,0.8262068804601838,0.9913329479664639,0.8199152572468457,0.9912664707797055,0.8132100434723356,0.9910872889921747,0.8062382256722058,0.9906566265140447,0.7994837283171077,0.9897421479233027,0.7940438723028077,0.9879681770410829,0.7917819092224393,0.9847000152190132,0.794730168584908,0.9789424509037683,0.8030548783854542,0.9699106100554715,0.8134184345832987,0.958500435196655,0.821528929619354,0.9471147919605816,0.8256648097812104,0.9374766869786894,0.826371368650752,0.9299080402039829,0.8247771723902305,0.9240380475084325,0.8218235787717271,0.9193892393331349,0.8181610196323064,0.9155828722296842,0.8142139402072744,0.9123637848396671,0.8102480805159689,0.9095722617628416
9125,12774,1924-12-30 00:00:00+00:00,1934-12-27 00:00:00+00:00,1929-12-29 00:00:00+00:00,0.83163282450481,0.9918061237681781,0.8243294544772386,0.9916874449060505,0.8163167886789429,0.9915077258472639,0.8075554504548983,0.9912616814720228,0.7980268928121996,0.9909585723793551,0.7877701964421393,0.9906312234174753,0.7769578315191654,0.9903432887750592,0.7660200034773906,0.9901947758571281,0.7557876058728245,0.9903186697910084,0.7475372340261892,0.9908195079923191,0.742712936516783,0.9916044108392348,0.742138731484648,0.9923087588691153,0.7451645814652232,0.9926707424915954,0.7499003777833843,0.9928911100254165,0.7544764648692093,0.9932608049041938,0.7578530569173814,0.9937560893322988,0.7597747632620301,0.9941797805223095,0.7604277740562398,0.9943966891665739,0.7601489074244603,0.9943833527852787,0.7592621026931943,0.9941810698288818,0.7580179217841857,0.9938489660615687
9490,13139,1925-12-30 00:00:00+00:00,1935-12-27 00:00:00+00:00,1930-12-29 00:00:00+00:00,0.7697903772838013,0.983033517036873,0.7654241741388833,0.9828557754405522,0.7605963874093227,0.9825924683352456,0.7551727184061611,0.9822192810596411,0.7489437745823744,0.98171455933979,0.7416004018077224,0.9810686706536221,0.7327236758442669,0.9802978930229644,0.7218161336381943,0.9794598454057944,0.7084128228128056,0.9786606019495004,0.6923032876827877,0.9780337794895787,0.6738223768921436,0.9776713937433142,0.6540079757631616,0.9775165320746696,0.634358285196915,0.9772783469304137,0.6162413045186901,0.9764518645993276,0.6004232748210392,0.9745059064893803,0.5870353833664924,0.9711803810944276,0.5758308083182763,0.9666393249744202,0.5664434561670173,0.9613334383486345,0.5585255830619106,0.9557494052274376,0.5517896360840797,0.950255534174852,0.5460082988305691,0.9450722091293344
9855,13504,1926-12-30 00:00:00+00:00,1936-12-26 00:00:00+00:00,1931-12-29 00:00:00+00:00,0.7801339192192033,0.9907524859614831,0.7733647899236124,0.9909745021688964,0.7657715102221254,0.9912731095334297,0.757256359820373,0.9916577168591603,0.7477094865637719,0.9921180135334229,0.7370001666210825,0.9926057230143753,0.7249666795247809,0.9930222980401776,0.7114120395794232,0.9932372470536581,0.6961198782650423,0.9931532043744615,0.6789200214321714,0.9927752225538494,0.6598419995563283,0.9921916939200557,0.639326072733383,0.9914465098109729,0.6183098164648235,0.9904233941829388,0.5980034445861554,0.9888915350246293,0.5794557963988713,0.9866979037137499,0.563244700483252,0.983901882984249,0.5494653231450151,0.9807281194767239,0.5379041409293989,0.9774344516874088,0.5282227202934039,0.974221684486202,0.5200736110691261,0.9712107777617228,0.5131520544907362,0.9684569313302005
10220,13869,1927-12-30 00:00:00+00:00,1937-12-26 00:00:00+00:00,1932-12-28 00:00:00+00:00,0.8436932899787968,0.9493690292425473,0.8364957118711767,0.9504035655069454,0.8282121868439115,0.9517404032773125,0.8186850739697709,0.9534430231929563,0.8077644083862117,0.9555522819344114,0.795335829478998,0.9580516937500877,0.7813652782042716,0.9608307552129394,0.7659560734114058,0.9636768370167992,0.7493985957801904,0.9663228464921808,0.7321849305649031,0.9685218639231912,0.7149719291977132,0.9700622320852789,0.6984864004406313,0.9706794735999553,0.6833699497431314,0.9699737421996207,0.6700105463797504,0.9675587362200136,0.6584798584046772,0.9634309815391774,0.6486264992274013,0.9581066360401813,0.6402166696592322,0.9523175940359565,0.6330173927420368,0.9466529278539271,0.6268228736563127,0.9414400732934524,0.6214584475811916,0.9367992966416323,0.6167791329380784,0.9327331491194232
10585,14234,1928-12-29 00:00:00+00:00,1938-12-26 00:00:00+00:00,1933-12-28 00:00:00+00:00,0.8065885831159125,0.9876738575544033,0.7979493257985317,0.9883054009463732,0.7880946227666249,0.9890215050320917,0.7768867889245212,0.9898222106818231,0.7642262008925953,0.9906967873711526,0.7500900975330993,0.9916170813035969,0.7345774892038812,0.9925355673555248,0.7179434600367653,0.9933978258423932,0.7005973547408123,0.994170201726403,0.6830527239991662,0.9948547440121861,0.6658576593392429,0.9954436342345971,0.6495487335009394,0.9957994365894308,0.6346127557800367,0.9955301962035814,0.621398328902599,0.9940224952126789,0.6100087669521272,0.990780129368988,0.6003000050291081,0.985853489025958,0.5920010953822769,0.979851779847333,0.5848370811488771,0.9735351962119455,0.5785818057692423,0.9674676129304576,0.5730619827623507,0.9619392529012106,0.5681469546585826,0.9570401510862915
