time,value
2012-01-20 00:00:00+00:00,211.0
2012-01-27 00:00:00+00:00,280.0
2012-02-03 00:00:00+00:00,300.0
2012-02-10 00:00:00+00:00,209.0
2012-02-17 00:00:00+00:00,199.0
2012-02-24 00:00:00+00:00,279.0
2012-03-02 00:00:00+00:00,246.0
2012-03-09 00:00:00+00:00,278.0
2012-03-16 00:00:00+00:00,261.0
2012-03-23 00:00:00+00:00,247.0
2012-03-30 00:00:00+00:00,223.0
2012-04-06 00:00:00+00:00,435.0
2012-04-13 00:00:00+00:00,366.0
2012-04-20 00:00:00+00:00,314.0
2012-04-27 00:00:00+00:00,264.0
2012-05-04 00:00:00+00:00,230.0
2012-05-11 00:00:00+00:00,198.0
2012-05-18 00:00:00+00:00,278.0
2012-05-25 00:00:00+00:00,228.0
2012-06-01 00:00:00+00:00,231.0
2012-06-08 00:00:00+00:00,194.0
2012-06-15 00:00:00+00:00,211.0
2012-06-22 00:00:00+00:00,203.0
2012-06-29 00:00:00+00:00,210.0
2012-07-06 00:00:00+00:00,206.0
2012-07-13 00:00:00+00:00,188.0
2012-07-20 00:00:00+00:00,204.0
2012-07-27 00:00:00+00:00,198.0
2012-08-03 00:00:00+00:00,245.0
2012-08-10 00:00:00+00:00,187.0
2012-08-17 00:00:00+00:00,176.0
2012-08-24 00:00:00+00:00,255.0
2012-08-31 00:00:00+00:00,412.0
2012-09-07 00:00:00+00:00,308.0
2012-09-14 00:00:00+00:00,200.0
2012-09-21 00:00:00+00:00,231.0
2012-09-28 00:00:00+00:00,216.0
2012-10-05 00:00:00+00:00,195.0
2012-10-12 00:00:00+00:00,178.0
2012-10-19 00:00:00+00:00,206.0
2012-10-26 00:00:00+00:00,361.0
2012-11-02 00:00:00+00:00,251.0
2012-11-09 00:00:00+00:00,294.0
2012-11-16 00:00:00+00:00,212.0
2012-11-23 00:00:00+00:00,181.0
2012-11-30 00:00:00+00:00,193.0
2012-12-07 00:00:00+00:00,301.0
2012-12-14 00:00:00+00:00,201.0
2012-12-21 00:00:00+00:00,203.0
2012-12-28 00:00:00+00:00,204.0
2013-01-04 00:00:00+00:00,243.0
2013-01-11 00:00:00+00:00,204.0
2013-01-18 00:00:00+00:00,188.0
2013-01-25 00:00:00+00:00,207.0
2013-02-01 00:00:00+00:00,562.0
2013-02-08 00:00:00+00:00,434.0
2013-02-15 00:00:00+00:00,272.0
2013-02-22 00:00:00+00:00,225.0
2013-03-01 00:00:00+00:00,213.0
2013-03-08 00:00:00+00:00,205.0
2013-03-15 00:00:00+00:00,204.0
2013-03-22 00:00:00+00:00,205.0
2013-03-29 00:00:00+00:00,212.0
2013-04-05 00:00:00+00:00,263.0
2013-04-12 00:00:00+00:00,293.0
2013-04-19 00:00:00+00:00,285.0
2013-04-26 00:00:00+00:00,185.0
2013-05-03 00:00:00+00:00,190.0
2013-05-10 00:00:00+00:00,284.0
2013-05-17 00:00:00+00:00,364.0
2013-05-24 00:00:00+00:00,188.0
2013-05-31 00:00:00+00:00,224.0
2013-06-07 00:00:00+00:00,183.0
2013-06-14 00:00:00+00:00,219.0
2013-06-21 00:00:00+00:00,207.0
2013-06-28 00:00:00+00:00,185.0
2013-07-05 00:00:00+00:00,228.0
2013-07-12 00:00:00+00:00,248.0
2013-07-19 00:00:00+00:00,265.0
2013-07-26 00:00:00+00:00,228.0
2013-08-02 00:00:00+00:00,233.0
2013-08-09 00:00:00+00:00,218.0
2013-08-16 00:00:00+00:00,282.0
2013-08-23 00:00:00+00:00,200.0
2013-08-30 00:00:00+00:00,315.0
2013-09-06 00:00:00+00:00,214.0
2013-09-13 00:00:00+00:00,214.0
2013-09-20 00:00:00+00:00,259.0
2013-09-27 00:00:00+00:00,217.0
2013-10-04 00:00:00+00:00,208.0
2013-10-11 00:00:00+00:00,303.0
2013-10-18 00:00:00+00:00,266.0
2013-10-25 00:00:00+00:00,281.0
2013-11-01 00:00:00+00:00,286.0
2013-11-08 00:00:00+00:00,293.0
2013-11-15 00:00:00+00:00,512.0
2013-11-22 00:00:00+00:00,326.0
2013-11-29 00:00:00+00:00,291.0
2013-12-06 00:00:00+00:00,278.0
2013-12-13 00:00:00+00:00,273.0
2013-12-20 00:00:00+00:00,302.0
2013-12-27 00:00:00+00:00,308.0
2014-01-03 00:00:00+00:00,269.0
2014-01-10 00:00:00+00:00,269.0
2014-01-17 00:00:00+00:00,336.0
2014-01-24 00:00:00+00:00,350.0
2014-01-31 00:00:00+00:00,365.0
2014-02-07 00:00:00+00:00,291.0
2014-02-14 00:00:00+00:00,234.0
2014-02-21 00:00:00+00:00,246.0
2014-02-28 00:00:00+00:00,271.0
2014-03-07 00:00:00+00:00,278.0
2014-03-14 00:00:00+00:00,393.0
2014-03-21 00:00:00+00:00,391.0
2014-03-28 00:00:00+00:00,447.0
2014-04-04 00:00:00+00:00,313.0
2014-04-11 00:00:00+00:00,591.0
2014-04-18 00:00:00+00:00,542.0
2014-04-25 00:00:00+00:00,330.0
2014-05-02 00:00:00+00:00,358.0
2014-05-09 00:00:00+00:00,345.0
2014-05-16 00:00:00+00:00,282.0
2014-05-23 00:00:00+00:00,312.0
2014-05-30 00:00:00+00:00,334.0
2014-06-06 00:00:00+00:00,306.0
